,source,target,flags
19872,99602,T8202XA,10000
19873,99602,T8203XA,10000
19874,99602,T8209XA,10000
19875,99603,T82211A,10000
19876,99603,T82212A,10000
19877,99603,T82213A,10000
19878,99603,T82218A,10000
19879,99604,T82110A,10000
19880,99604,T82111A,10000
19881,99604,T82120A,10000
19882,99604,T82121A,10000
19883,99604,T82190A,10000
19884,99604,T82191A,10000
19885,99609,T82221A,10000
19886,99609,T82222A,10000
19887,99609,T82223A,10000
19888,99609,T82228A,10000
19889,99609,T82518A,10000
19890,99609,T82528A,10000
19891,99609,T82538A,10000
19892,99609,T82598A,10000
19893,9961,T82390A,10000
19894,9961,T82391A,10000
19895,9961,T82392A,10000
19896,9961,T8249XA,10000
19897,9961,T82590A,10000
19898,9961,T82591A,10000
19899,9961,T82593A,10000
19900,9961,T82595A,10000
19901,9961,T82598A,10000
19902,9962,T8509XA,10000
19903,9962,T85190A,10000
19904,9962,T85192A,10000
19905,9962,T85193A,10000
19906,9962,T85199A,10000
19907,99630,T83498A,10000
19908,99631,T83091A,10000
19909,99632,T8339XA,10000
19910,99639,T83090A,10000
19911,99639,T83092A,10000
19912,99639,T83098A,10000
19913,99639,T83193A,10000
19914,99639,T83198A,10000
19915,99639,T8329XA,10000
19916,99639,T83498A,10000
19917,99640,T84498A,10000
19918,99641,T84039A,10000
19919,99642,T84029A,10000
19920,99643,T84019A,10000
19921,99644,M979XXA,10000
19922,99645,T84059A,10000
19923,99646,T84069A,10000
19924,99647,T84099A,10000
19925,99649,T84119A,10000
19926,99649,T84129A,10000
19927,99649,T84199A,10000
19928,99649,T84498A,10000
19929,99651,T85398A,10000
19930,99652,T86820,10000
19931,99652,T86821,10000
19932,99653,T8529XA,10000
19933,99654,T8549XA,10000
19934,99655,T85693A,10000
19935,99656,T85691A,10000
19936,99657,T85694A,10000
19937,99659,T85398A,10000
19938,99659,T85590A,10000
19939,99659,T85692A,10000
19940,99659,T85698A,10000
19941,99660,T8579XA,10000
19942,99661,T826XXA,10000
19943,99661,T827XXA,10000
19944,99662,T827XXA,10000
19945,99663,T85730A,10000
19946,99663,T85731A,10000
19947,99663,T85732A,10000
19948,99663,T85733A,10000
19949,99663,T85734A,10000
19950,99663,T85735A,10000
19951,99663,T85738A,10000
19952,99664,T83510A,10000
19953,99664,T83511A,10000
19954,99664,T83512A,10000
19955,99664,T83518A,10000
19956,99665,T83590A,10000
19957,99665,T83591A,10000
19958,99665,T83592A,10000
19959,99665,T83593A,10000
19960,99665,T83598A,10000
19961,99665,T8361XA,10000
19962,99665,T8362XA,10000
19963,99665,T8369XA,10000
19964,99666,T8450XA,10000
19965,99667,T8460XA,10000
19966,99667,T847XXA,10000
19967,99668,T8571XA,10000
19968,99669,T8579XA,10000
19969,99670,T859XXA,10000
19970,99671,T82817A,10000
19971,99671,T82827A,10000
19972,99671,T82837A,10000
19973,99671,T82847A,10000
19974,99671,T82857A,10000
19975,99671,T82867A,10000
19976,99671,T82897A,10000
19977,99671,T829XXA,10000
19978,99672,T82817A,10000
19979,99672,T82827A,10000
19980,99672,T82837A,10000
19981,99672,T82847A,10000
19982,99672,T82855A,10000
19983,99672,T82857A,10000
19984,99672,T82867A,10000
19985,99672,T82897A,10000
19986,99672,T829XXA,10000
19987,99673,T82818A,10000
19988,99673,T82828A,10000
19989,99673,T82838A,10000
19990,99673,T82848A,10000
19991,99673,T82858A,10000
19992,99673,T82868A,10000
19993,99673,T82898A,10000
19994,99674,T82818A,10000
19995,99674,T82828A,10000
19996,99674,T82838A,10000
19997,99674,T82848A,10000
19998,99674,T82856A,10000
19999,99674,T82858A,10000
20000,99674,T82868A,10000
20001,99674,T82898A,10000
20002,99674,T829XXA,10000
20003,99675,T85810A,10000
20004,99675,T85820A,10000
20005,99675,T85830A,10000
20006,99675,T85840A,10000
20007,99675,T85850A,10000
20008,99675,T85860A,10000
20009,99675,T85890A,10000
20010,99676,T8381XA,10000
20011,99676,T8382XA,10000
20012,99676,T8383XA,10000
20013,99676,T8384XA,10000
20014,99676,T8385XA,10000
20015,99676,T8386XA,10000
20016,99676,T8389XA,10000
20017,99676,T839XXA,10000
20018,99677,T8481XA,10000
20019,99677,T8482XA,10000
20020,99677,T8483XA,10000
20021,99677,T8484XA,10000
20022,99677,T8485XA,10000
20023,99677,T8486XA,10000
20024,99677,T8489XA,10000
20025,99677,T849XXA,10000
20026,99678,T8481XA,10000
20027,99678,T8482XA,10000
20028,99678,T8483XA,10000
20029,99678,T8484XA,10000
20030,99678,T8485XA,10000
20031,99678,T8486XA,10000
20032,99678,T8489XA,10000
20033,99678,T849XXA,10000
20034,99679,T85818A,10000
20035,99679,T85828A,10000
20036,99679,T85838A,10000
20037,99679,T85848A,10000
20038,99679,T85858A,10000
20039,99679,T85868A,10000
20040,99679,T85898A,10000
20041,99680,T8690,10000
20042,99680,T8691,10000
20043,99680,T8692,10000
20044,99680,T8699,10000
20045,99681,T8610,10000
20046,99681,T8611,10000
20047,99681,T8612,10000
20048,99682,T8640,10000
20049,99682,T8641,10000
20050,99682,T8642,10000
20051,99683,T8620,10000
20052,99683,T8621,10000
20053,99683,T8622,10000
20054,99684,T86810,10000
20055,99684,T86811,10000
20056,99684,T86819,10000
20057,99685,T8600,10000
20058,99685,T8601,10000
20059,99685,T8602,10000
20060,99685,T8609,10000
20061,99686,T86890,10000
20062,99686,T86891,10000
20063,99686,T86899,10000
20064,99687,T86850,10000
20065,99687,T86851,10000
20066,99687,T86859,10000
20067,99688,T865,0
20068,99689,T86890,10000
20069,99689,T86891,10000
20070,99689,T86899,10000
20071,99690,T870X9,10000
20072,99690,T871X9,10000
20073,99691,T870X9,10000
20074,99692,T870X9,10000
20075,99693,T870X9,10000
20076,99694,T870X9,10000
20077,99695,T871X9,10000
20078,99696,T871X9,10000
20079,99699,T871X9,10000
20080,99699,T872,10000
20081,99700,G9781,10000
20082,99701,G9781,10000
20083,99701,G9782,10000
20084,99702,I97811,10000
20085,99702,I97821,10000
20086,99709,G038,10000
20087,99709,G970,10000
20088,99709,G9781,10000
20089,99709,G9782,10000
20090,9971,I97710,10000
20091,9971,I97790,10000
20092,9971,I9788,10000
20093,9971,I9789,10000
